Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,transp,evap,interc,prec,SoilC,SoilC_slow,LitC,VegC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
1549,-0.000244302,0.00541284,0.00311169,0.00335599,9.8921e-08,-1.21454e-08,2.9254e-05,-0.000273445,0.00256161,0.00020327,0.000214535,0.00378006,0.0756776,0.0263786,0.0025454,0.00415188,4.95409e-05,1.07948e-05,8.96805e-06,7.36071e-06,3.25656e-09,-2.76452e-11,2.73105e-07,0.00451108,0.00163777,4.24338e-05,0.00016357
1550,0.000153541,0.00598203,0.00351785,0.0033643,-4.04805e-08,-5.6758e-09,3.07428e-05,0.000122764,0.00304682,0.000233259,0.000234939,0.00405584,0.0757553,0.0263793,0.00245215,0.00429017,5.14515e-05,1.55733e-05,9.49438e-06,9.25093e-06,-1.38981e-09,-1.25734e-11,3.00545e-07,0.00451411,0.00163782,4.1341e-05,0.000164716
1551,-0.000113414,0.00547853,0.00318777,0.00330118,1.06222e-07,-4.91405e-09,0.000124106,-0.00023741,0.00263107,0.000195026,0.000190545,0.00324772,0.0756999,0.0263792,0.00233786,0.00422248,4.82743e-05,1.12178e-05,6.51576e-06,8.46585e-06,3.50031e-09,-1.08357e-11,1.15237e-06,0.00450989,0.00163782,3.83691e-05,0.000168541
1552,0.000335727,0.00615973,0.00356444,0.00322871,-4.59311e-08,-5.98371e-09,4.5959e-05,0.000289728,0.00288417,0.000186752,0.000217698,0.00382557,0.0758517,0.0263782,0.00253625,0.00416202,5.09271e-05,1.28181e-05,6.28824e-06,8.61239e-06,-1.57148e-09,-1.32966e-11,4.52333e-07,0.00451303,0.00163777,4.36864e-05,0.000160641
1553,0.000495441,0.00653682,0.0038736,0.00337816,2.61553e-08,0,2.63265e-05,0.000469141,0.00342183,0.000245812,0.000493553,0.00933876,0.0762776,0.0263791,0.00270277,0.00403875,5.57145e-05,1.85371e-05,9.54448e-06,1.06307e-05,8.53001e-10,0,2.87362e-07,0.00452829,0.00163782,4.99288e-05,0.000147368
1554,-0.000204294,0.00580727,0.00329714,0.00350144,1.04923e-07,-1.04731e-08,0.000148927,-0.000353105,0.00292183,0.000153599,0.00021004,0.00320389,0.0761595,0.0263817,0.00237094,0.00413556,4.91621e-05,1.34167e-05,5.46725e-06,8.80708e-06,3.457e-09,-2.32717e-11,1.44689e-06,0.00452718,0.00163797,4.07764e-05,0.000153283
1555,0.000214765,0.00603861,0.00355255,0.00333778,-4.31815e-08,-5.1637e-09,3.03588e-05,0.000184368,0.00286631,0.000209167,0.000199616,0.00367524,0.0762214,0.026382,0.00247547,0.00415348,5.49333e-05,1.48267e-05,9.38609e-06,9.12005e-06,-1.47598e-09,-1.17002e-11,3.01263e-07,0.00452723,0.00163799,4.24064e-05,0.000156037
1556,0.00011118,0.00594155,0.00345219,0.00334101,2.54901e-08,-5.25541e-09,3.57605e-05,7.54505e-05,0.00292782,0.000193204,0.000218846,0.00382557,0.0761851,0.0263824,0.00255943,0.00418129,4.80012e-05,1.3784e-05,6.02409e-06,8.92768e-06,8.09326e-10,-1.1519e-11,3.33497e-07,0.00452509,0.00163801,4.25519e-05,0.000155558
1557,-0.000646911,0.00481219,0.00270714,0.00335405,4.37776e-07,-1.23835e-08,3.66329e-05,-0.000683094,0.00213355,0.00022806,0.000160206,0.00281706,0.075833,0.0263829,0.00239928,0.00401041,4.56818e-05,7.78575e-06,7.99665e-06,7.03456e-06,1.45518e-08,-2.82026e-11,3.29829e-07,0.00451423,0.00163807,3.7211e-05,0.000167271
1558,-0.000864436,0.00439539,0.00235992,0.00322436,7.48861e-07,-1.77937e-08,1.72656e-05,-0.000880935,0.00212595,0.000220079,0.000169639,0.0029119,0.0754502,0.0263818,0.00226671,0.00364487,4.35744e-05,5.46213e-06,8.88453e-06,6.56381e-06,2.49211e-08,-4.07968e-11,1.55599e-07,0.00450288,0.00163804,3.51991e-05,0.000174659
